"word","totalCount","readFreq","deleteFreq"," followUpFreq"
"<https://cibc.taleo.net/careersection/1/jobdetail.ftl?job=18010930&lang=en>",1,1,0.000746268656716418,1
"<https://cibc.taleo.net/careersection/1/jobsearch.ftl?lang=en>",11,1,0.00447761194029851,1
"<https://cibc.taleo.net/careersection/4/jobsearch.ftl?lang=en>",11,1,0.00447761194029851,1
"<https://cibc.taleo.net/careersection/careersection/candidateportal/myaccount/myaccountview.jsf?lang=en&csno=10000&portal=2140473593>",11,1,0.00447761194029851,1
"<https://www.linkedin.com/in/sophie-quinn-9b2b82128?trk=hp-identity-photo>",1,1,1,0.00223713646532438
"<mailto:emily.keefe@mthreeconsulting.com>",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"<mailto:mailbox.careers-carrieres@cibc.com>",11,1,0.00447761194029851,1
"<mailto:migena.kola@mthreeconsulting.com>",1,0.000528820729772607,1,1
"<mailto:sophie.quinn@mthreeconsulting.com>",1,1,1,0.00223713646532438
"10004

e:",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"15",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"17",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"18010533",1,1,0.000746268656716418,1
"18010930",1,1,0.000746268656716418,1
"20",1,0.000528820729772607,1,1
"207",1,1,1,0.00223713646532438
"20th",1,1,1,0.00223713646532438
"3",11,0.000528820729772607,1,0.00223713646532438
"3rd",11,0.000528820729772607,1,0.00223713646532438
"4022

a:",1,1,1,0.00223713646532438
"4039

a:",1,0.000528820729772607,1,1
"441-7503

a:",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"6th",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"771-1708

m:",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"7870",1,0.000528820729772607,1,1
"870",1,1,1,0.00223713646532438
"9ge

e:",11,0.000528820729772607,1,0.00223713646532438
"a",10,0.00898995240613432,0.0119402985074627,0.00223713646532438
"‘correspondence",11,1,0.00447761194029851,1
"—",1,0.000528820729772607,1,1
"“send",11,1,0.00447761194029851,1
"about",21,1,0.0082089552238806,1
"above.
",11,1,0.00447761194029851,1
"accessing",11,1,0.00447761194029851,1
"account",7,0.00898995240613432,0.00895522388059702,0.00223713646532438
"accounts",1,1,1,0.00223713646532438
"acknowledge",11,1,0.00447761194029851,1
"acquisition",11,1,0.00447761194029851,1
"acquisition

please",11,1,0.00447761194029851,1
"add",11,1,0.00447761194029851,1
"additional",11,1,0.00447761194029851,1
"addressed.",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"advisor

t:",1,0.000528820729772607,1,1
"again",11,1,0.00447761194029851,1
"again,",1,0.000528820729772607,1,1
"alerts.",11,1,0.00447761194029851,1
"all",11,1,0.00447761194029851,1
"am",1,0.000528820729772607,1,1
"an",11,1,0.00447761194029851,1
"analyst,",1,1,0.000746268656716418,1
"and",22,0.00581702802749868,0.0111940298507463,0.0201342281879195
"and,",11,1,0.00447761194029851,1
"any",18,0.00475938656795346,0.00746268656716418,0.0201342281879195
"apply,",11,1,0.00447761194029851,1
"applying",11,1,0.00447761194029851,1
"approval.

",1,1,1,0.00223713646532438
"approve",1,1,1,0.00223713646532438
"are",19,0.00423056583818086,0.00895522388059702,0.0201342281879195
"as",11,1,0.00447761194029851,1
"assistance",11,1,0.00447761194029851,1
"assistant",1,1,1,0.00223713646532438
"attachments.",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"attention",1,0.000528820729772607,1,1
"availability",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"available.",11,1,0.00447761194029851,1
"back",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"be",14,0.00211528291909043,0.00970149253731343,0.0134228187919463
"because",11,1,0.00447761194029851,1
"become",11,1,0.00447761194029851,1
"been",1,0.000528820729772607,1,1
"before",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"box",11,1,0.00447761194029851,1
"but",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"by",4,0.00846113167636171,0.00746268656716418,0.00894854586129754
"can",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"canada.",11,1,0.00447761194029851,1
"canary",1,0.000528820729772607,1,1
"candidate,
",11,1,0.00447761194029851,1
"career",2,1,0.00149253731343284,1
"catch",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"caused",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"check",4,0.00846113167636171,0.00746268656716418,0.00894854586129754
"cibc",28,1,0.0111940298507463,1
"clean,",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"click",21,1,0.0082089552238806,1
"come",1,0.000528820729772607,1,1
"companies",11,1,0.00447761194029851,1
"companies,",11,1,0.00447761194029851,1
"companies.",11,1,0.00447761194029851,1
"confidential",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"consultant,",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"contacted",11,1,0.00447761194029851,1
"contagion",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"damage",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"dear",11,1,0.00447761194029851,1
"department

",11,1,0.00447761194029851,1
"deselect",11,1,0.00447761194029851,1
"do",11,1,0.00447761194029851,1
"down",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"down;",1,0.000528820729772607,1,1
"drop",1,0.000528820729772607,1,1
"e-mail",11,1,0.00447761194029851,1
"e14",11,0.000528820729772607,1,0.00223713646532438
"edit",11,1,0.00447761194029851,1
"email",15,0.00211528291909043,0.00970149253731343,0.0156599552572707
"email.",11,1,0.00447761194029851,1
"emily.keefe@mthreeconsulting.com",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"endeavour",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"ending",1,1,1,0.00223713646532438
"entity",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"error",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"ever",1,0.000528820729772607,1,1
"everyone",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"everyone,

",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"except",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"exchange,",11,0.000528820729772607,1,0.00223713646532438
"expressed",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"far!",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"feel",1,0.000528820729772607,1,1
"fieldglass",1,1,1,0.00223713646532438
"files",12,0.00211528291909043,0.00447761194029851,0.0156599552572707
"financial",11,1,0.00447761194029851,1
"find",11,1,0.00447761194029851,1
"floor,",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"following",11,1,0.00447761194029851,1
"for",24,0.00634584875727129,0.00298507462686567,0.0246085011185682
"get",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"global",11,1,0.00447761194029851,1
"going",29,0.00846113167636171,0.000746268656716418,0.00223713646532438
"group",25,1,0.00970149253731343,1
"harbour",11,0.000528820729772607,1,0.00223713646532438
"has",1,0.000528820729772607,1,1
"have",9,0.00951877313590693,0.00895522388059702,0.00894854586129754
"hear",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"hello,

",1,0.000528820729772607,1,1
"her/me",1,0.000528820729772607,1,1
"here",11,1,0.00447761194029851,1
"hi",29,0.00793231094658911,0.000746268656716418,0.00894854586129754
"how",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"however,",1,0.000528820729772607,1,1
"hr",1,0.000528820729772607,1,1
"i",1,0.000528820729772607,1,1
"id",11,1,0.00447761194029851,1
"if",8,0.00898995240613432,0.00895522388059702,0.00894854586129754
"immediately.",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"immediately.

",1,0.000528820729772607,1,1
"in",20,0.00370174510840825,0.0119402985074627,0.0178970917225951
"in,",11,1,0.00447761194029851,1
"inactive",1,0.000528820729772607,1,1
"individual",12,0.00211528291909043,0.00447761194029851,0.0156599552572707
"individuals",11,1,0.00447761194029851,1
"information",11,1,0.00447761194029851,1
"insights,",1,1,0.000746268656716418,1
"institutions",11,1,0.00447761194029851,1
"intended",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"interest",11,1,0.00447761194029851,1
"intria",11,1,0.00447761194029851,1
"is",3,0.00793231094658911,0.00746268656716418,0.00894854586129754
"it",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"keefe–",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"keep",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"know.

",1,0.000528820729772607,1,1
"kola",1,0.000528820729772607,1,1
"labeled",11,1,0.00447761194029851,1
"later,",11,1,0.00447761194029851,1
"leading",11,1,0.00447761194029851,1
"let",1,0.000528820729772607,1,1
"life",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"ligeika",1,0.000528820729772607,1,1
"like",2,0.00793231094658911,0.00746268656716418,0.00223713646532438
"line",1,0.000528820729772607,1,1
"link(s)",11,1,0.00447761194029851,1
"london,",11,0.000528820729772607,1,0.00223713646532438
"longer",1,0.000528820729772607,1,1
"mailbox.careers-carrieres@cibc.com",11,1,0.00447761194029851,1
"management",2,0.00793231094658911,0.00746268656716418,0.00223713646532438
"manager",1,1,1,0.00223713646532438
"manager,",1,1,0.000746268656716418,1
"managing",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"matching",11,1,0.00447761194029851,1
"may",11,1,0.00447761194029851,1
"may.

",1,1,1,0.00223713646532438
"me",2,0.00793231094658911,0.00746268656716418,0.00223713646532438
"message",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"minute",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"monday",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"months.

",1,0.000528820729772607,1,1
"montreal",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"more",21,1,0.0082089552238806,1
"motivated",11,1,0.00447761194029851,1
"mthree.",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"my",23,0.000528820729772607,0.0082089552238806,1
"name",11,1,0.00447761194029851,1
"need",1,0.000528820729772607,1,1
"new",2,0.00793231094658911,0.00746268656716418,0.00223713646532438
"next",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"no",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"not",21,1,0.0082089552238806,1
"notification",11,1,0.00447761194029851,1
"notify",4,0.00846113167636171,0.00746268656716418,0.00894854586129754
"ny",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"of",24,0.00581702802749868,0.00373134328358209,0.0223713646532438
"offers",11,1,0.00447761194029851,1
"on",3,0.00846113167636171,0.00746268656716418,0.00223713646532438
"one",21,1,0.0082089552238806,1
"online",1,0.000528820729772607,1,1
"onsite",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"opening",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"operational",11,1,0.00447761194029851,1
"opportunities",28,1,0.0111940298507463,1
"or",9,0.00846113167636171,0.0104477611940299,0.00894854586129754
"our",17,0.000528820729772607,0.00447761194029851,1
"out",17,1,0.00447761194029851,0.00223713646532438
"page,",11,1,0.00447761194029851,1
"page.",11,1,0.00447761194029851,1
"password",11,1,0.00447761194029851,1
"pending",1,1,1,0.00223713646532438
"period",1,0.000528820729772607,1,1
"platform,",1,0.000528820729772607,1,1
"please",20,0.00475938656795346,0.0104477611940299,0.0178970917225951
"pleased",11,1,0.00447761194029851,1
"pluralsight",1,0.000528820729772607,1,1
"pluralsight,",1,0.000528820729772607,1,1
"point,",1,0.000528820729772607,1,1
"position",21,1,0.0082089552238806,1
"position(s):",11,1,0.00447761194029851,1
"posted”.





you",11,1,0.00447761194029851,1
"preferences",11,1,0.00447761194029851,1
"privacy",11,1,0.00447761194029851,1
"profile",11,1,0.00447761194029851,1
"profile;",11,1,0.00447761194029851,1
"questions,",1,0.000528820729772607,1,1
"quick",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"quinn",1,1,1,0.00223713646532438
"reach",17,1,0.00447761194029851,0.00223713646532438
"received",7,0.00846113167636171,0.00895522388059702,0.00894854586129754
"regard,",11,1,0.00447761194029851,1
"regards,


",11,1,0.00447761194029851,1
"reinstated",1,0.000528820729772607,1,1
"remy.ligeika@mthreeconsulting.com

w:",1,0.000528820729772607,1,1
"replies",11,1,0.00447761194029851,1
"reply",11,1,0.00447761194029851,1
"request",11,1,0.00447761194029851,1
"require",11,1,0.00447761194029851,1
"responsibility",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"result,",11,1,0.00447761194029851,1
"reviewing",11,1,0.00447761194029851,1
"risk",21,1,0.0082089552238806,1
"ruedi,

",1,1,1,0.00223713646532438
"section’",11,1,0.00447761194029851,1
"sender",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"sender,",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"senior",1,1,0.000746268656716418,1
"set",11,1,0.00447761194029851,1
"shut",1,0.000528820729772607,1,1
"sign",11,1,0.00447761194029851,1
"sit",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"so",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"solely",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"sophie.quinn@mthreeconsulting.com",1,1,1,0.00223713646532438
"specific",11,1,0.00447761194029851,1
"specifically",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"state",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"stated",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"still",1,1,1,0.00223713646532438
"street,",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"subscribe",11,1,0.00447761194029851,1
"subscribed",11,1,0.00447761194029851,1
"take",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"talent",21,1,0.0082089552238806,1
"talented,",11,1,0.00447761194029851,1
"than",1,0.000528820729772607,1,1
"that",1,0.000528820729772607,1,1
"the",26,0.00687466948704389,0.00671641791044776,0.00447427293064877
"they",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"this",16,0.00264410364886304,0.0111940298507463,0.0156599552572707
"those",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"three",1,0.000528820729772607,1,1
"timesheet",1,1,1,0.00223713646532438
"to",27,0.0074034902168165,0.00522388059701493,0.00671140939597315
"training",1,0.000528820729772607,1,1
"transmitted",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"tuesday",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"undeliverable",11,1,0.00447761194029851,1
"unsubscribe,",11,1,0.00447761194029851,1
"up.

",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"use",3,0.00898995240613432,0.000746268656716418,0.00894854586129754
"user",11,1,0.00447761194029851,1
"variety",11,1,0.00447761194029851,1
"views",12,0.00211528291909043,0.00447761194029851,0.0156599552572707
"viruses",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"visit",11,1,0.00447761194029851,1
"want",11,1,0.00447761194029851,1
"we",4,0.00846113167636171,0.00746268656716418,0.00894854586129754
"websites:",11,1,0.00447761194029851,1
"week",29,0.00793231094658911,0.000746268656716418,0.00894854586129754
"wharf,",1,0.000528820729772607,1,1
"when",11,1,0.00447761194029851,1
"whenever",11,1,0.00447761194029851,1
"where",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"while",11,1,0.00447761194029851,1
"who",11,1,0.00447761194029851,1
"whom",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"wide",11,1,0.00447761194029851,1
"will",5,0.00846113167636171,0.00895522388059702,0.00223713646532438
"with",19,0.00317292437863564,0.0119402985074627,0.0156599552572707
"work",11,1,0.00447761194029851,1
"would",2,0.00793231094658911,0.00746268656716418,0.00223713646532438
"www.mthreealumni.com",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"www.mthreeconsulting.com",11,0.000528820729772607,1,0.00223713646532438
"york",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"you",14,0.00105764145954521,0.00223880597014925,0.00894854586129754
"your",13,0.00898995240613432,0.00223880597014925,0.0134228187919463
